ethereum_address,splits_at_20444139
"0x0000000000000000000000000000000000000000000000000000000000000000",2.6
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",42.608
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0.04
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",0.344
"0x000000000000000000000000c6ac0d6abd1bbb371db2b3ef7cbc9fc972c700a6",0.448
"0x000000000000000000000000ea4529d359a6aa73515cda46896b2a51d48e6d46",0.128
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",33.832
"0x00000003004a616b6557686172746f6e2f74696d626572000000000000000000",4
"0x00000003006170616368652f636f6d6d6f6e732d637376000000000000000000",4
"0x00000003006170616368652f636f6d6d6f6e732d696f00000000000000000000",4
"0x00000003006a756e69742d7465616d2f6a756e69743500000000000000000000",4
"0x00000003007371756172652f726574726f666974000000000000000000000000",4
