ethereum_address,splits_at_18533142,splits_at_18860628,splits_at_18860837,splits_at_19592288,splits_at_20383501,splits_at_20597000
"0x00000000000000000000000054e67ae7f27bcd6e6e90aa11ff3ec06e6c4ebe15",12,0,0,0,0,0
"0x000000000000000000000000883753beab357a2c29f3766c6ad158e72a78ce51",48,30,30,0,0,0
"0x000000030070736965676d616e2f657075626c69620000000000000000000000",40,13.3333,20,20,8.0001,8.0014
"0x0000000000000000000000001703ed1bfacc04b7eb654b297aa4e52ebc008722",0,30,12,0,0,0
"0x00000003006873696166616e2f61706b2d706172736572000000000000000000",0,13.3333,8,8,3.2,3.1999
"0x0000000300776562336a2f776562336a00000000000000000000000000000000",0,13.3333,12,12,4.8,4.8
"0x000000000000000000000000d452c1321e03c6e34ad8c6f60b694b1e780c4b75",0,0,18,0,0,0
"0x0000000000000000000000000000000000000000000000000000000000000000",0,0,0,3.3719,4.3841,4.6161
"0x0000000000000000000000003965d420cde24fe00f742cb31257ca90e04556a7",0,0,0,0.72,0.84,0.7999
"0x0000000000000000000000004709ebf314c6492d57f4c6d4f57357d5b2bb074e",0,0,0,0.336,0.424,0.4959
"0x0000000000000000000000005367a6d4f5991327bb20466684790e394be000de",0,0,0,0.456,0.536,0.5119
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",0,0,0,30.612,37.592,36.4559
"0x0000000000000000000000006321286f9b73f427c72e1f9f1bc6b3d25ef06605",0,0,0,0.3419,0.408,0.3839
"0x000000000000000000000000819e4f5e912abb36c8f6c03790e7508e03cc37a3",0,0,0,0.672,0.7919,0.7519
"0x000000000000000000000000914dbee36bcab63b2d15faed08839be43797b421",0,0,0,0.228,0.408,0.2559
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",0,0,0,23.262,31.296,31.3679
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0,0,0,0,2.208,2.9519
"0x00000000000000000000000038c19bc91fc35f8bcad07f177cc2f11098b1f3ff",0,0,0,0,0.248,0.2319
"0x000000000000000000000000513dcee2929a6e0cd115fb65ec926d6569d98aff",0,0,0,0,0.536,0.6559
"0x00000000000000000000000078888390aa08d9a25f3bdb8a1b35351d7c7f8a12",0,0,0,0,0.3279,0.3119
"0x0000000300446f6766616c6f2f6d6174657269616c697a650000000000000000",0,0,0,0,4,3.9999
"0x00000000000000000000000022d83d2681c8f04877b60f907d8288f011b314f8",0,0,0,0,0,0.2079
