ethereum_address,impact_percentage,github_username
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,44.79,nya-elimu
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,39.46,jo-elimu
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,4.29,coderabbitai
0x3965d420cde24fe00f742cb31257ca90e04556a7,0.96,tomaszsmy
0x819e4F5E912abb36c8f6c03790e7508e03cc37a3,0.91,UmenR
0x513DceE2929a6e0CD115fb65Ec926d6569d98aff,0.79,venkatesh2k3
0x5367a6d4F5991327Bb20466684790e394bE000dE,0.62,Shubham-Vishwakarma
0x4709ebf314c6492d57f4c6d4f57357d5b2bb074e,0.60,vrudas
0x0000000000000000000000000000000000000000,0.59,aschworer
0x0000000000000000000000000000000000000000,0.48,SnehaHS65
0x6321286F9B73f427C72e1f9F1bC6b3d25eF06605,0.46,hhio618
0x0000000000000000000000000000000000000000,0.46,urosht
0x0000000000000000000000000000000000000000,0.45,alexander-kuruvilla
0x22d83d2681c8F04877b60F907D8288f011b314F8,0.43,Souvik-Cyclic
0x78888390AA08D9A25f3BDB8A1B35351D7c7F8a12,0.38,Bender-22
0x914dBEe36BcAb63B2D15fAED08839Be43797b421,0.31,watr-sheep
0x0000000000000000000000000000000000000000,0.29,eymaal
0x0000000000000000000000000000000000000000,0.28,jpatel3
0x38c19Bc91fC35f8bCAd07F177cC2F11098B1F3ff,0.28,vuriaval
0x0000000000000000000000000000000000000000,0.28,Keerthi4308
