ethereum_address,impact_percentage,github_username
0x1D5878059679eFFA13ec0Dc2C894e008307050bc,57.43,jo-elimu
0xEF836b1b90E42c8c69F3cEf628eB10983C10E792,10.66,nya-elimu
0x48Ac1399035bcCE8C7996D8C60E014b9373B3962,3.04,sladomic
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,2.68,tuancoltech
0xb7bCEbD47E00cED9Caf7430A16EBFAc8Ec074380,0.83,arvind-1
0x0000000000000000000000000000000000000000,0.51,bojanvu23
0x0000000000000000000000000000000000000000,0.32,bvalbo
0x1f1319c79F1496357781691a22B1f37dAC9D844F,0.25,gscdev
0x819e4F5E912abb36c8f6c03790e7508e03cc37a3,0.11,UmenR
0x0000000000000000000000000000000000000000,0.04,bojanvuCT
