ethereum_address,impact_percentage,github_username
0x1D5878059679eFFA13ec0Dc2C894e008307050bc,46.88,jo-elimu
0xEF836b1b90E42c8c69F3cEf628eB10983C10E792,18.83,nya-elimu
0x1f1319c79F1496357781691a22B1f37dAC9D844F,12.42,gscdev
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,11.38,tuancoltech
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,7.04,coderabbitai
0x647Ea721B4E896D1f76062713B2a0b137475bC3d,1.91,Brijeshthummar02
0xc6AC0D6AbD1bbB371Db2B3Ef7cbc9fC972C700A6,0.82,bikash
0x48Ac1399035bcCE8C7996D8C60E014b9373B3962,0.38,sladomic
0x819e4F5E912abb36c8f6c03790e7508e03cc37a3,0.35,UmenR
0x0000000000000000000000000000000000000000,0.00,tuan-jason
