ethereum_address,impact_percentage,sponsorship_count,distribution_count,operation_count
0xA7D1CB88740642DC95774511Cc73f015396Be869,10,1,0,0
0x8c14a3Dd850835A07fbA7620E2601b3E5A6d5ee5,10,1,0,0
0x6BB79F2d6B4c379B1553f1d137fDf9e22454020C,10,1,0,0
0x78888390AA08D9A25f3BDB8A1B35351D7c7F8a12,10,1,0,0
0x1703ed1bFacC04b7eB654b297aA4E52EBC008722,10,1,0,0
0xa0FFC564019EeBfC5c5393c255fBA847656b8434,10,0,1,0
0xcA5FD34F640866A30B98caba531aF11363B16d5C,10,0,1,0
0x83Ba4C10A64378A6F5ed4D3bbf0b746f4c569B91,10,0,0,1
0xF72ff6980D2c62258b54Da10178e1DDd87409a33,10,0,0,1
0xA6eC928d658e7010454A21E2Ba5942871db09fd7,10,0,0,1
