ethereum_address,block_20448586,block_22335847,block_22486695,block_22995146
"0x0000000000000000000000000000000000000000000000000000000000000000",18.6081,13.4879,11.3279,11.3279
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",6.8318,0,0,0
"0x00000000000000000000000079b58d333e77c01256a2d14f63e18f398068cbcb",26.616,47.6399,39.9998,39.9997
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",27.944,0,0,0
"0x000000030062656e6c61752f7174636900000000000000000000000000000000",3,2.9999,2.9998,2.9997
"0x0000000300676f6f676c652d636f64652d6578706f72742f706f6c7932747269",2,2,1.9999,1.9999
"0x0000000300676f6f676c652f566f6c7441697200000000000000000000000000",6,6,5.9999,5.9999
"0x0000000300676f6f676c652f6c697175696466756e0000000000000000000000",4,3.9999,3.9998,3.9997
"0x000000030071742f717435000000000000000000000000000000000000000000",3,2.9999,2.9998,2.9997
"0x00000003007472617669732d63692f7472617669732d63690000000000000000",2.0001,2.0007,2.0013,2.0017
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,16.1759,14.3359,14.3359
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,2.6959,14.3359,14.3359
