ethereum_address,block_20446875,block_22031376,block_22057146,block_22337229,block_22430098,block_22707054,block_22707057,block_23000726,block_23210920,block_23432797,block_23432804,block_23432878
"0x0000000000000000000000000000000000000000000000000000000000000000",20.424,0.736,0,0.224,0.192,0.192,0,0.184,0.1759,0.1839,0,0
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",45.944,46.2,0,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",0.2,0.176,0,0,0,0,0,0,0,0,0,0
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",2.432,2.208,0,0.576,0.504,0.504,0,0.4559,0.4559,0.4479,0,0
"0x000000000000000000000000819e4f5e912abb36c8f6c03790e7508e03cc37a3",0.088,0.08,0,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",1.72,20.344,0,21.52,20.8,20.8,0,21.56,21.2879,21.2158,0,0
"0x000000000000000000000000b7bcebd47e00ced9caf7430a16ebfac8ec074380",0.664,0.608,0,0,0,0,0,0,0,0,0,0
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",8.528,7.784,0,0,0,0,0,0,0,0,0,0
"0x00000003004a616b6557686172746f6e2f74696d626572000000000000000000",6.6666,5,0,5,4,2.8571,0,2.8571,2.857,2.8569,0,0
"0x00000003006a756e69742d7465616d2f6a756e69743500000000000000000000",6.6668,5,0,5,4,2.8571,0,2.8571,2.857,2.8569,0,0
"0x00000003007371756172652f726574726f666974000000000000000000000000",6.6666,5,0,5,4,2.8571,0,2.8571,2.857,2.8569,0,0
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0,1.864,0,0,0,0,0,0,0,0,0,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",0,5,0,5,4,2.8571,0,2.8571,2.857,2.8569,0,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,14.648,15.6,15.6,0,14.312,14.1359,14.0879,0,0
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,43.032,42.904,42.904,0,43.488,43.9439,44.0637,0,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,0,4,2.8571,0,2.8571,2.857,2.8569,0,0
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,0,0,2.8574,0,2.8575,2.8585,2.8594,0,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,0,0,2.8571,0,2.8571,2.857,2.8569,0,0
