ethereum_address,block_22702026,block_23000214,block_23210693,block_23432418,block_24263257,block_24263276,block_24263308,block_24263327
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",11.056,9.784,9.064,9.008,11.1842,0,0,0
"0x00000000000000000000000014e9535a9004fb4b12d2233cbf1739a654ba51a4",10.408,9.208,8.536,8.48,10.5263,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",20.816,18.992,17.6,17.48,21.7105,0,0,0
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",37.72,42.016,44.8,45.032,56.579,0,0,0
"0x0000000300677261646c652f677261646c652d6275696c642d616374696f6e00",2.5,2.5,2.5,2.5,0,0,0,0
"0x0000000300677265656e726f626f742f677265656e44414f0000000000000000",2.5,2.5,2.5,2.5,0,0,0,0
"0x000000030068646f64656e686f662f436972636c65496d616765566965770000",2.5,2.5,2.5,2.5,0,0,0,0
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",2.5,2.5,2.5,2.5,0,0,0,0
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",2.5,2.5,2.5,2.5,0,0,0,0
"0x00000003010a70956f42017a070c918ccefba8731c211285e34f18e45fa2fae6",2.5,2.5,2.5,2.5,0,0,0,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",2.5,2.5,2.5,2.5,0,0,0,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",2.5,2.5,2.5,2.5,0,0,0,0
