ethereum_address,block_21929392,block_22050661,block_22056605,block_22335698,block_22493512,block_22493826,block_22703217,block_22995762,block_23203200,block_23411967
"0x0000000000000000000000000000000000000000000000000000000000000000",0.304,12.68,0.2079,0,0,0,0,0,0,0
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",1.848,1.264,1.2639,0.4959,0.3599,0.3599,0.3519,0.3359,0.3279,0.3279
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",3.912,8.936,8.9359,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",41.128,28.248,28.2479,0,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",4.632,0.112,12.5839,24.5917,31.5515,31.5514,31.1592,30.4392,30.295,30.2309
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",28.176,27.7279,27.7279,0,0,0,0,0,0,0
"0x0000000300616a6f626572737461722f67726769740000000000000000000000",4.95,4.95,4.95,4.9499,2.8287,2.8286,2.8285,2.8284,2.8283,2.8282
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",4.95,4.95,4.95,4.9499,2.8287,2.8286,2.8285,2.8284,2.8283,2.8282
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",4.95,4.95,4.95,4.9499,2.8287,2.8286,2.8285,2.8284,2.8283,2.8282
"0x00000003007371756172652f726574726f666974000000000000000000000000",4.95,4.9501,4.9508,4.9515,2.8295,2.8305,2.8315,2.8324,2.8334,2.8343
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2,0.2,0.1999,0.1999,0.1998,0.1997,0.1996,0.1996,0.1996,0.1996
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0,1.032,1.0319,0.4959,0.3599,0.3599,0.3519,0.3359,0.3279,0.3279
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,26.7117,22.7756,22.7755,22.0555,21.2394,20.9113,20.8712
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,27.7037,24.9516,24.9515,26.0794,27.6472,28.1351,28.239
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,0,2.8287,2.8286,2.8285,2.8284,2.8283,2.8282
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,0,2.8287,2.8286,2.8285,2.8284,2.8283,2.8282
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,0,2.8287,2.8286,2.8285,2.8284,2.8283,2.8282
