ethereum_address,block_22049907,block_22335914,block_22486757,block_22493786,block_22703016,block_22703045,block_22995257,block_23202712,block_23411770,block_23411802,block_24263636
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",16.736,0,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",0.648,0,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",36.896,28.832,25.96,25.792,25.432,0,22.912,21.68,21.48,0,23.2
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",25.72,0,0,0,0,0,0,0,0,0,0
"0x00000003004a616b6557686172746f6e2f74696d626572000000000000000000",8.8,8.8,3.52,3.52,3.92,0,3.92,3.92,3.92,0,0
"0x000000030062756d70746563682f676c69646500000000000000000000000000",8.8,8.8,3.52,3.52,3.92,0,3.92,3.92,3.92,0,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",2,2,2,2,0,0,0,0,0,0,0
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,5.048,3.712,3.688,3.24,0,2.816,2.616,2.592,0,2.8
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,46.12,50.328,50.52,51.328,0,54.272,55.704,55.928,0,74
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,3.52,3.52,3.92,0,3.92,3.92,3.92,0,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,3.52,3.52,3.92,0,3.92,3.92,3.92,0,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,3.52,3.52,3.92,0,3.92,3.92,3.92,0,0
