ethereum_address,block_21924716,block_22056643,block_22336950,block_22486741,block_22493811,block_22703061,block_22703198,block_22995296,block_23203180,block_23411831,block_23411837
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",5.096,7.024,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",23.488,13.368,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",4.704,12.488,12.096,13.744,13.688,13.528,0,12.928,12.384,12.272,0
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",46.712,45.616,0,0,0,0,0,0,0,0,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",9.9,9.9,9.9,3.96,3.96,3.96,0,3.96,3.96,3.96,0
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",9.9,9.9,9.9,3.96,3.96,3.96,0,3.96,3.96,3.96,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0,1.504,0.392,0.304,0.304,0.288,0,0.272,0.256,0.256,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,23.808,21.072,20.992,19.856,0,18.584,17.808,17.632,0
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,43.704,44.88,45.016,46.328,0,48.216,49.552,49.84,0
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,3.96,3.96,3.96,0,3.96,3.96,3.96,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,3.96,3.96,3.96,0,3.96,3.96,3.96,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,3.96,3.96,3.96,0,3.96,3.96,3.96,0
