ethereum_address,block_20447010,block_22031439,block_22057168,block_22337339,block_22430578,block_22707207,block_23000740,block_23210974,block_23433039
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",38.552,37.8799,37.8795,0,0,0,0,0,0
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",15.936,10.1999,10.1998,11.3277,8.7677,7.7677,7.4557,7.3117,7.2557
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",0.4879,0.3119,0.3119,0,0,0,0,0,0
"0x000000000000000000000000819e4f5e912abb36c8f6c03790e7508e03cc37a3",0.448,0.2799,0.2799,0,0,0,0,0,0
"0x000000000000000000000000c6ac0d6abd1bbb371db2b3ef7cbc9fc972c700a6",1.048,0.6719,0.6719,0.3439,0.2639,0.2319,0.2239,0.2239,0.2159
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",23.528,15.4719,15.4718,0,0,0,0,0,0
"0x000000000000000000000000f02a861adf72d340336ec79f4a789e70267a8cc1",4.0001,4.0013,4.0023,4.0031,3.3336,2.5002,2.5007,2.5017,2.5028
"0x00000003004a616b6557686172746f6e2f74696d626572000000000000000000",4,3.9999,3.9998,3.9997,3.3336,2.5002,2.5001,2.5,2.4999
"0x000000030061666f6c6c65737461642f6d6174657269616c2d6469616c6f6773",4,3.9999,3.9998,3.9997,3.3336,2.5002,2.5002,2.5001,2.5
"0x00000003006a756e69742d7465616d2f6a756e69743500000000000000000000",4,3.9999,3.9998,3.9997,3.3336,2.5002,2.5002,2.5001,2.5
"0x0000000301e283914b1f603333e04c66c9dfa38c3740da363fe398161fc93f8d",4,3.9999,3.9998,3.9997,3.3336,2.5002,2.5002,2.5001,2.5
"0x0000000000000000000000000000000000000000000000000000000000000000",0,1.5759,0,0,0,0,0,0,0
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0,5.4399,5.4399,0,0,0,0,0,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",0,8.1679,8.1759,13.0477,11.9677,13.1756,12.6635,12.4155,12.3114
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0,0,1.5679,0.6879,0.5279,0.4719,0.4479,0.4399,0.4399
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,29.5274,27.1113,23.9993,23.0472,22.5991,22.415
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,25.0635,31.3592,34.351,36.1588,37.0066,37.3584
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,0,3.3343,2.5002,2.5002,2.5001,2.5
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,0,0,2.5002,2.5002,2.5001,2.5
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,0,0,2.5012,2.5012,2.5011,2.501
