ethereum_address,block_22057297,block_22338213
"0x0000000000000000000000000000000000000000000000000000000000000000",0.552,0.36
"0x00000000000000000000000014e9535a9004fb4b12d2233cbf1739a654ba51a4",1.48,10.664
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",46.592,0
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",0.104,0
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",21.28,55.824
"0x000000000000000000000000cc661d7f89795c908d10f4c297525474df757ee1",2.928,2.488
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",7.064,0
"0x00000003006170616368652f636f6d6d6f6e732d6d6174680000000000000000",2.5,2.5
"0x0000000300677265656e726f626f742f677265656e44414f0000000000000000",2.5,2.5
"0x00000003006f70656e63762f6f70656e63760000000000000000000000000000",2.5,2.5
"0x00000003007371756172652f6f6b687474700000000000000000000000000000",2.5,2.5
"0x00000003015b3b59346ac7b095cc1c3ca94c3e3354cbf871dcdc351082651ce5",2.5,2.5
"0x00000003016b4c7a4cc8cfa557613086eccd4d7782e448e801fb6f173b783101",2.5,2.5
"0x000000030176f6cc9175140b1dc7b350e1765691678b510353b258d7787a4719",2.5,2.5
"0x0000000301d920857fd7f06a9b2e21944c8c06268508d734704251eb0f978911",2.5,2.5
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,7.464
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,3.2
