ethereum_address,block_21929476,block_22335822,block_22703262,block_23000200,block_23210469,block_23432403
"0x0000000000000000000000000000000000000000000000000000000000000000",3.432,2.416,2.544,2.504,2.456,2.408
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0.848,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",26.52,0,0,0,0,0
"0x000000000000000000000000819e4f5e912abb36c8f6c03790e7508e03cc37a3",0.28,0,0,0,0,0
"0x000000000000000000000000c73e819cea330bc28d8ff190dc2ed676ba36fea2",0.944,0.136,0.128,0.128,0.12,0.12
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",47.976,0,0,0,0,0
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",9.9,9.9,9.9,9.9,9.9,9.9
"0x000000030070726f6a6563746c6f6d626f6b2f6c6f6d626f6b00000000000000",9.9,9.9,9.9,9.9,9.9,9.9
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0.2,0.2,0.2,0.2,0.2,0.2
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,60.4,58.696,57.68,56.352,55.336
"0x00000000000000000000000038c19bc91fc35f8bcad07f177cc2f11098b1f3ff",0,0.4,0.384,0.376,0.368,0.36
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,16.648,18.248,19.312,20.704,21.776
