ethereum_address,block_20482125,block_22057186,block_22338131,block_22501255,block_22707247,block_23000767,block_23217322
"0x0000000000000000000000001d5878059679effa13ec0dc2c894e008307050bc",27.072,28.6319,0,0,0,0,0
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",39.6639,36.2959,54.8075,35.4555,33.2554,33.0713,33.0712
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0.096,1.0959,0,0,0,0,0
"0x00000000000000000000000048ac1399035bcce8c7996d8c60e014b9373b3962",6.664,6.0959,3.7039,2.3919,2.2479,2.2319,2.2319
"0x000000000000000000000000ef836b1b90e42c8c69f3cef628eb10983c10e792",6.504,6.3279,0,0,0,0,0
"0x00000003006a756e69742d7465616d2f6a756e69743500000000000000000000",10,10.0006,10.0011,3.3334,3.3333,3.3333,3.3332
"0x0000000301125695ccdef8b9135af5771059d0ca2dcac9ad971e44d9456c654b",10.0001,10,9.9999,3.3334,3.3333,3.3333,3.3332
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",0,1.5519,0.7439,28.7436,31.9114,32.1833,32.1832
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,17.0398,11.0158,10.3358,10.2797,10.2797
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,3.7039,2.3919,2.2479,2.2319,2.2319
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",0,0,0,3.3334,3.3333,3.3333,3.3332
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",0,0,0,3.3334,3.3333,3.3333,3.3332
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",0,0,0,3.3334,3.3333,3.3332,3.3331
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0,0,0,3.3343,3.3351,3.3355,3.3362
