ethereum_address,block_18533142,block_18860628,block_18860837,block_19592288,block_20383501,block_20597000,block_21601966,block_21871933,block_22049694,block_22079438,block_22304086,block_22304129,block_22700970,block_22701533,block_22973286,block_23202047,block_23411347,block_23411481,block_24207478,block_24212171,block_24250113,block_24250208,block_24257432,block_24257874
"0x00000000000000000000000054e67ae7f27bcd6e6e90aa11ff3ec06e6c4ebe15",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x000000000000000000000000883753beab357a2c29f3766c6ad158e72a78ce51",48,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x000000030070736965676d616e2f657075626c69620000000000000000000000",40,13.3333,20,20,8.0001,8.0014,8.0027,8.0041,8.0055,8.0067,0,8.0047,8.0063,0,8.0078,8.0091,8.0105,0,0,0,0,0,0,0
"0x0000000000000000000000001703ed1bfacc04b7eb654b297aa4e52ebc008722",0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x00000003006873696166616e2f61706b2d706172736572000000000000000000",0,13.3333,8,8,3.2,3.1999,3.1998,3.1998,3.1997,3.1996,0,3.1987,3.1986,0,3.1985,3.1984,3.1984,0,0,0,0,0,0,0
"0x0000000300776562336a2f776562336a00000000000000000000000000000000",0,13.3333,12,12,4.8,4.8,4.8,4.7999,4.7998,4.7998,0,4.7984,4.7984,0,4.7983,4.7983,4.7982,0,0,0,0,0,0,0
"0x000000000000000000000000d452c1321e03c6e34ad8c6f60b694b1e780c4b75",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000000000000000000000000000000000000000000000",0,0,0,3.3719,4.3841,4.6161,4.6559,4.5998,4.9277,4.7117,0,4.656,2.7519,0,2.7039,2.6559,2.6558,0,0,0,0,0,0,0
"0x0000000000000000000000003965d420cde24fe00f742cb31257ca90e04556a7",0,0,0,0.72,0.84,0.7999,0.7279,0.6959,0.6879,0.6799,0,0.648,0.6639,0,0.6479,0.6399,0.6319,0,0,0,0,0,0,0
"0x0000000000000000000000004709ebf314c6492d57f4c6d4f57357d5b2bb074e",0,0,0,0.336,0.424,0.4959,0.4559,0.4319,0.4239,0.4239,0,0.408,0.7519,0,0.7279,0.7199,0.7199,0,0,0,0,0,0,0
"0x0000000000000000000000005367a6d4f5991327bb20466684790e394be000de",0,0,0,0.456,0.536,0.5119,0.4719,0.4479,0.4399,0.4399,0,0.416,0.3439,0,0.3359,0.3279,0.3279,0,0,0,0,0,0,0
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",0,0,0,30.612,37.592,36.4559,34.8794,33.791,33.2145,33.094,0,31.808,0,0,0,0,0,0,0,0,0,0,0,0
"0x0000000000000000000000006321286f9b73f427c72e1f9f1bc6b3d25ef06605",0,0,0,0.3419,0.408,0.3839,0.3519,0.3359,0.3279,0.3279,0,0.312,0.1199,0,0.1199,0.1119,0.1119,0,0,0,0,0,0,0
"0x000000000000000000000000819e4f5e912abb36c8f6c03790e7508e03cc37a3",0,0,0,0.672,0.7919,0.7519,0.6879,0.6559,0.6479,0.6479,0,0.616,0.6639,0,0.6479,0.6399,0.6319,0,0,0,0,0,0,0
"0x000000000000000000000000914dbee36bcab63b2d15faed08839be43797b421",0,0,0,0.228,0.408,0.2559,0.2319,0.2239,0.2159,0.2159,0,0.208,0.2559,0,0.2479,0.2479,0.2479,0,0,0,0,0,0,0
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",0,0,0,23.262,31.296,31.3679,31.9515,32.495,32.7745,32.7741,0,33.672,0,0,0,0,0,0,0,0,0,0,0,0
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",0,0,0,0,2.208,2.9519,4.0319,4.4718,4.6077,4.6477,13.328,5.176,0,0,0,0,0,0,0,0,0,0,0,0
"0x00000000000000000000000038c19bc91fc35f8bcad07f177cc2f11098b1f3ff",0,0,0,0,0.248,0.2319,0.2159,0.1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x000000000000000000000000513dcee2929a6e0cd115fb65ec926d6569d98aff",0,0,0,0,0.536,0.6559,0.5999,0.5759,0.5839,0.5759,0,0.552,0.4239,0,0.4159,0.4079,0.4079,0,0,0,0,0,0,0
"0x00000000000000000000000078888390aa08d9a25f3bdb8a1b35351d7c7f8a12",0,0,0,0,0.3279,0.3119,0.2879,0.2719,0.2719,0.2639,0,0.288,0.5439,0,0.5279,0.5199,0.5199,0,0,0,0,0,0,0
"0x0000000300446f6766616c6f2f6d6174657269616c697a650000000000000000",0,0,0,0,4,3.9999,3.9998,3.9997,3.9996,3.9995,0,3.9983,3.9982,0,3.9981,3.998,3.9979,0,0,0,0,0,0,0
"0x00000000000000000000000022d83d2681c8f04877b60f907d8288f011b314f8",0,0,0,0,0,0.2079,0.4479,0.4879,0.4799,0.4799,0,0.4559,0.4959,0,0.4799,0.4719,0.4719,0,0,0,0,0,0,0
"0x000000000000000000000000c73e819cea330bc28d8ff190dc2ed676ba36fea2",0,0,0,0,0,0,0,0.3119,0.3919,0.3919,0,0.392,0.0719,0,0.0639,0.0639,0.0639,0,0,0,0,0,0,0
"0x000000000000000000000000c907e4d4bc4bda1d3c29f83b27646261f7b0027e",0,0,0,0,0,0,0,0,0,0.3199,0,0.392,0.4399,0,0.4319,0.4239,0.4239,0,0,0,0,0,0,0
"0x00000000000000000000000006c55901b14bc42ebfd8022ce34f6ef7e41b0086",0,0,0,0,0,0,0,0,0,0,64.744,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x000000000000000000000000f3f8183aaf7759409c251665a00ccb1fdab10cf3",0,0,0,0,0,0,0,0,0,0,1.9279,0,0,0,0,0,0,0,0,0,0,0,0,0
"0x000000030070616e6461732d6465762f70616e64617300000000000000000000",0,0,0,0,0,0,0,0,0,0,19.8,0,0,19.7999,0,0,0,19.7998,0,0,0,0,0,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",0,0,0,0,0,0,0,0,0,0,0.2001,0,0,0.2003,0,0,0,0.2005,0,0,0,0,0,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,0,0,0,0,0,0,0,0,0,0,0,49.1599,77.5919,47.9191,47.1664,47.0057,77.5598,0,96.84,0,0,0,0
"0x000000000000000000000000b7bcebd47e00ced9caf7430a16ebfac8ec074380",0,0,0,0,0,0,0,0,0,0,0,0,0.1039,0,0.0959,0.0959,0.0959,0,0,0,0,0,0,0
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,0,0,0,0,0,0,0,0,0,0,23.2079,2.4079,24.6315,25.5031,25.6787,2.4399,0,3.16,0,0,0,0
"0x0000000300656c696d752d61692f776562617070000000000000000000000000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
